KCH,semester,xkrs,jgl,pjf,yxl
1101980026R,2020-2021学年第二学期,21.0,100.0,83.0,4.76
0510220001,2020-2021学年第二学期,13.0,100.0,83.31,7.69
0510220001,2020-2021学年第一学期,15.0,100.0,79.0,0.0
0510220001,2019-2020学年第二学期,17.0,100.0,79.59,0.0
0411740001,2018-2019学年第二学期,19.0,100.0,85.84,5.26
0411740001,2017-2018学年第二学期,25.0,100.0,84.31,0.0
2701000027,2020-2021学年第一学期,27.0,100.0,85.81,7.41
0904870001,2020-2021学年第二学期,154.0,100.0,74.24,0.0
0412360001,2020-2021学年第一学期,4.0,100.0,67.0,0.0
2301110001,2020-2021学年第二学期,16.0,100.0,71.53,0.0
2205940001,2020-2021学年第一学期,29.0,100.0,78.17,0.0
2205940001,2019-2020学年第一学期,30.0,100.0,78.67,6.67
2205700001,2020-2021学年第一学期,31.0,100.0,76.97,0.0
2701000032,2020-2021学年第一学期,180.0,100.0,72.3,1.62
25110002,2020-2021学年第一学期,30.0,100.0,85.9,10.0
1501990008,2020-2021学年第二学期,58.0,100.0,81.67,8.62
1501990008,2020-2021学年第一学期,47.0,100.0,79.62,8.51
2202020001R,2020-2021学年第一学期,29.0,100.0,81.9,10.34
2202020001R,2019-2020学年第一学期,16.0,100.0,78.25,6.25
6301000002,2020-2021学年第二学期,32.0,100.0,87.06,59.38
9901690001,2019-2020学年第一学期,98.0,100.0,76.33,1.02
9901690001,2018-2019学年第二学期,97.0,100.0,80.24,12.37
9901690001,2018-2019学年第一学期,184.0,100.0,76.4,7.49
9901690001,2017-2018学年第二学期,83.0,100.0,72.05,2.41
0710660001,2020-2021学年第二学期,20.0,100.0,78.6,0.0
0710660001,2019-2020学年第二学期,15.0,100.0,77.75,0.0
1407400001,2020-2021学年第一学期,135.0,100.0,81.36,0.0
1407400001,2019-2020学年第一学期,135.0,100.0,80.47,0.0
1407400001,2018-2019学年第一学期,141.0,100.0,80.77,0.0
2002600001,2020-2021学年第一学期,37.0,100.0,85.7,8.11
2002600001,2019-2020学年第一学期,43.0,100.0,84.14,9.3
2002600001,2018-2019学年第一学期,40.0,100.0,85.28,10.0
5301000002,2020-2021学年第二学期,67.0,100.0,84.51,8.82
2901000001,2020-2021学年第一学期,57.0,100.0,72.07,6.56
1229920001,2020-2021学年第二学期,61.0,100.0,79.08,1.64
1229920001,2020-2021学年第一学期,48.0,100.0,77.67,8.33
1229920001,2019-2020学年第二学期,99.0,100.0,82.61,4.04
1229920001,2019-2020学年第一学期,27.0,100.0,79.59,7.41
1229920001,2018-2019学年第二学期,47.0,100.0,83.68,8.51
0101920004,2020-2021学年第一学期,42.0,100.0,84.71,9.52
2300780001,2020-2021学年第一学期,13.0,100.0,63.92,7.69
2300780001,2019-2020学年第一学期,37.0,100.0,72.46,0.0
2300780001,2018-2019学年第一学期,20.0,100.0,67.6,0.0
2500240001,2020-2021学年第一学期,30.0,100.0,85.13,10.0
2500240001,2019-2020学年第一学期,50.0,100.0,85.9,10.0
2500240001,2018-2019学年第二学期,14.0,100.0,83.43,7.14
0302840001,2020-2021学年第二学期,32.0,100.0,83.66,9.38
0302840001,2019-2020学年第二学期,39.0,100.0,84.79,7.69
0302840001,2018-2019学年第二学期,14.0,100.0,81.64,0.0
0302840001,2017-2018学年第二学期,24.0,100.0,87.54,12.5
1905520001,2018-2019学年第一学期,42.0,100.0,74.86,14.29
1305030001,2020-2021学年第二学期,21.0,100.0,80.29,9.52
1305030001,2019-2020学年第二学期,11.0,100.0,68.91,0.0
1305030001,2018-2019学年第二学期,38.0,100.0,81.79,7.89
0905030001,2019-2020学年第二学期,41.0,100.0,83.27,0.0
1201980054,2020-2021学年第二学期,39.0,100.0,71.05,2.56
0000050001,2020-2021学年第二学期,7.0,100.0,79.0,0.0
0510450001,2020-2021学年第一学期,27.0,100.0,82.3,7.41
0510450001,2019-2020学年第一学期,25.0,100.0,79.04,8.0
2301320001,2020-2021学年第一学期,24.0,100.0,79.64,28.0
6401020002,2020-2021学年第二学期,8.0,100.0,68.25,0.0
6401020002,2019-2020学年第二学期,10.0,100.0,78.1,10.0
1102150002R,2020-2021学年第一学期,7.0,100.0,88.0,28.57
2201990034,2020-2021学年第二学期,135.0,100.0,71.9,0.0
6300090001,2020-2021学年第二学期,21.0,100.0,73.76,4.76
6300090001,2019-2020学年第二学期,28.0,100.0,80.43,0.0
6300090001,2018-2019学年第一学期,49.0,100.0,84.78,2.04
0711100001,2020-2021学年第一学期,8.0,100.0,84.38,0.0
5601000004,2020-2021学年第二学期,54.0,100.0,83.02,11.11
5601000004,2020-2021学年第一学期,26.0,100.0,83.5,11.54
9001000011,2019-2020学年第一学期,6.0,100.0,82.33,0.0
1407430001,2020-2021学年第一学期,31.0,100.0,85.32,3.23
0412150001,2020-2021学年第二学期,24.0,100.0,87.58,8.33
12110004,2020-2021学年第二学期,100.0,100.0,85.36,3.0
0101920002,2020-2021学年第一学期,17.0,100.0,65.94,5.88
0101920002,2019-2020学年第二学期,46.0,100.0,77.74,8.7
2205310001,2020-2021学年第二学期,133.0,100.0,67.03,0.0
2205310001,2019-2020学年第二学期,122.0,100.0,76.0,4.92
6400990001,2019-2020学年第二学期,17.0,100.0,85.53,29.41
2205970001,2020-2021学年第二学期,36.0,100.0,81.14,8.33
2205970001,2019-2020学年第二学期,35.0,100.0,82.54,8.57
5002020001,2018-2019学年第二学期,50.0,100.0,81.36,2.0
1230100001,2020-2021学年第二学期,39.0,100.0,84.03,0.0
03110002,2020-2021学年第二学期,54.0,100.0,86.96,0.0
03110002,2019-2020学年第二学期,29.0,100.0,82.83,6.9
1504460001,2020-2021学年第二学期,15.0,100.0,84.33,0.0
0710400001,2020-2021学年第二学期,18.0,100.0,81.11,0.0
0808090001,2018-2019学年第二学期,15.0,100.0,83.6,0.0
0901970036,2020-2021学年第二学期,21.0,100.0,73.05,0.0
0510440001,2020-2021学年第二学期,21.0,100.0,81.76,9.52
2201840001R,2019-2020学年第二学期,15.0,100.0,87.13,6.67
0710470001,2020-2021学年第一学期,18.0,100.0,84.44,5.56
0710470001,2019-2020学年第一学期,19.0,100.0,80.26,5.26
0601950001,2020-2021学年第一学期,67.0,100.0,71.89,0.0
0601950001,2019-2020学年第一学期,68.0,100.0,77.16,0.0
0601950001,2018-2019学年第一学期,62.0,100.0,71.52,0.0
0501990026,2020-2021学年第二学期,15.0,100.0,79.53,6.67
6100230001,2018-2019学年第一学期,33.0,100.0,75.64,9.09
0710670001,2020-2021学年第二学期,14.0,100.0,82.64,7.14
1229960001,2020-2021学年第一学期,26.0,100.0,81.42,7.69
1229960001,2018-2019学年第二学期,33.0,100.0,77.12,0.0
2801000006,2020-2021学年第二学期,27.0,100.0,81.15,3.7
2801000006,2020-2021学年第一学期,23.0,100.0,84.74,8.7
0711180001,2019-2020学年第一学期,16.0,100.0,78.0,0.0
0711180001,2018-2019学年第一学期,16.0,100.0,82.13,0.0
0510280001,2020-2021学年第二学期,19.0,100.0,84.21,0.0
03110001,2020-2021学年第二学期,120.0,100.0,82.33,4.96
03110001,2020-2021学年第一学期,59.0,100.0,81.37,6.78
03110001,2019-2020学年第二学期,173.0,100.0,85.25,4.62
2701000006,2020-2021学年第二学期,150.0,100.0,83.16,3.95
2701000006,2019-2020学年第二学期,151.0,100.0,86.43,4.64
0411980001,2020-2021学年第二学期,13.0,100.0,70.38,0.0
0101920015,2020-2021学年第一学期,11.0,100.0,77.45,0.0
0411930001,2020-2021学年第二学期,19.0,100.0,74.32,0.0
2401220001,2020-2021学年第二学期,33.0,100.0,83.39,12.12
0201990002,2020-2021学年第一学期,84.0,100.0,87.36,4.76
9001000006,2019-2020学年第一学期,1.0,100.0,84.0,0.0
1901990042,2020-2021学年第一学期,39.0,100.0,77.05,5.13
1201980035,2020-2021学年第一学期,52.0,100.0,81.38,0.0
2205300001,2020-2021学年第二学期,1.0,100.0,79.0,0.0
2500260001,2020-2021学年第一学期,30.0,100.0,84.35,12.9
2500260001,2019-2020学年第一学期,28.0,100.0,86.11,7.14
2500260001,2018-2019学年第二学期,12.0,100.0,88.17,8.33
0112030001,2020-2021学年第二学期,57.0,100.0,79.91,10.34
0112030001,2020-2021学年第一学期,56.0,100.0,78.79,7.14
0112030001,2019-2020学年第二学期,108.0,100.0,71.28,9.17
0112030001,2019-2020学年第一学期,25.0,100.0,75.24,16.0
2701000013,2020-2021学年第二学期,188.0,100.0,69.08,2.38
2701000013,2019-2020学年第二学期,165.0,100.0,69.3,4.35
5901000001,2020-2021学年第二学期,33.0,100.0,86.55,9.09
0701990013,2020-2021学年第一学期,6.0,100.0,81.33,0.0
3007640001,2020-2021学年第二学期,12.0,100.0,78.33,0.0
3007640001,2019-2020学年第二学期,83.0,100.0,81.1,0.0
3007640001,2018-2019学年第二学期,55.0,100.0,77.96,0.0
1401980012,2020-2021学年第二学期,40.0,100.0,77.1,0.0
1401980012,2019-2020学年第二学期,42.0,100.0,79.86,0.0
13000109,1999-2000学年第一学期,,100.0,,0.0
1704150001,2020-2021学年第二学期,20.0,100.0,90.65,15.0
1704150001,2019-2020学年第二学期,14.0,100.0,89.71,14.29
1704150001,2017-2018学年第二学期,27.0,100.0,86.15,7.41
0412160001,2020-2021学年第二学期,25.0,100.0,83.44,4.0
0710440001,2020-2021学年第二学期,33.0,100.0,82.27,6.06
0710440001,2019-2020学年第二学期,34.0,100.0,83.94,5.88
0710440001,2018-2019学年第二学期,16.0,100.0,81.31,0.0
1504510001,2020-2021学年第二学期,37.0,100.0,72.05,2.7
1504510001,2020-2021学年第一学期,31.0,100.0,64.55,6.45
1504510001,2019-2020学年第二学期,55.0,100.0,77.55,36.36
1504510001,2019-2020学年第一学期,25.0,100.0,66.64,24.0
1504510001,2018-2019学年第二学期,20.0,100.0,71.15,30.0
6401020006,2020-2021学年第一学期,25.0,100.0,87.12,8.0
2501000002,2019-2020学年第二学期,25.0,100.0,87.64,16.0
2201990010,2020-2021学年第一学期,208.0,100.0,81.42,1.92
1801560001R,2020-2021学年第二学期,25.0,100.0,68.6,8.0
2205640001,2020-2021学年第一学期,64.0,100.0,85.53,9.38
2205640001,2019-2020学年第二学期,62.0,100.0,83.68,6.45
0208690001,2020-2021学年第二学期,55.0,100.0,77.16,1.82
0208690001,2019-2020学年第二学期,54.0,100.0,73.89,1.82
2801000004,2020-2021学年第一学期,157.0,100.0,74.52,0.64
6400870001,2018-2019学年第二学期,8.0,100.0,78.13,12.5
2205960001,2020-2021学年第二学期,39.0,100.0,86.51,7.69
2205960001,2020-2021学年第一学期,28.0,100.0,82.68,10.71
2205960001,2019-2020学年第二学期,25.0,100.0,87.48,8.0
9000120001,2018-2019学年第一学期,1.0,100.0,82.0,0.0
0710530001,2020-2021学年第一学期,15.0,100.0,76.6,0.0
0711300001,2018-2019学年第二学期,50.0,100.0,79.0,10.0
12190008,2020-2021学年第二学期,32.0,100.0,90.66,34.38
2301310001,2020-2021学年第一学期,20.0,100.0,73.4,20.0
2301310001,2019-2020学年第一学期,27.0,100.0,76.37,33.33
5201850001,2020-2021学年第二学期,52.0,100.0,78.6,0.0
5201850001,2019-2020学年第二学期,51.0,100.0,81.25,0.0
1101020003R,2020-2021学年第一学期,57.0,100.0,74.64,5.36
5201890005,2020-2021学年第二学期,25.0,100.0,79.2,8.0
5201890005,2020-2021学年第一学期,21.0,100.0,79.62,0.0
6400880001,2019-2020学年第二学期,59.0,100.0,72.84,6.45
6400880001,2018-2019学年第二学期,58.0,100.0,77.63,10.17
12190003,2020-2021学年第二学期,309.0,100.0,79.35,3.76
12190003,2020-2021学年第一学期,125.0,100.0,82.65,0.0
2001990003,2020-2021学年第二学期,117.0,100.0,83.68,3.42
2002780001,2020-2021学年第一学期,13.0,100.0,78.71,28.57
2600170001,2018-2019学年第二学期,43.0,100.0,83.05,9.3
6301000001,2020-2021学年第二学期,43.0,100.0,86.6,9.3
6301000001,2019-2020学年第二学期,38.0,100.0,84.63,2.63
9000160001,2018-2019学年第一学期,6.0,100.0,83.33,16.67
9901730001,2019-2020学年第二学期,298.0,100.0,94.34,85.91
9901730001,2019-2020学年第一学期,243.0,100.0,87.41,51.03
9901730001,2018-2019学年第二学期,301.0,100.0,90.98,76.82
9901730001,2018-2019学年第一学期,353.0,100.0,84.25,54.87
9901730001,2017-2018学年第二学期,290.0,100.0,79.6,42.27
0901970013,2020-2021学年第二学期,22.0,100.0,84.27,9.09
1102070001R,2020-2021学年第二学期,13.0,100.0,86.69,0.0
2600140001,2020-2021学年第二学期,58.0,100.0,82.43,6.9
2600140001,2020-2021学年第一学期,37.0,100.0,83.41,10.81
2600140001,2018-2019学年第二学期,47.0,100.0,82.13,4.26
5201760001,2019-2020学年第二学期,68.0,100.0,83.44,5.88
5201760001,2019-2020学年第一学期,32.0,100.0,81.41,6.25
5201760001,2018-2019学年第二学期,57.0,100.0,82.05,7.02
5201760001,2018-2019学年第一学期,55.0,100.0,77.87,7.27
6400920001,2020-2021学年第一学期,3.0,100.0,76.33,0.0
6400920001,2019-2020学年第一学期,16.0,100.0,58.25,6.25
0412050001,2020-2021学年第二学期,58.0,100.0,78.24,8.62
0412050001,2020-2021学年第一学期,23.0,100.0,83.43,4.35
0412050001,2019-2020学年第二学期,46.0,100.0,80.78,8.7
0412050001,2019-2020学年第一学期,17.0,100.0,82.06,5.88
0412050001,2018-2019学年第二学期,25.0,100.0,61.28,8.0
1229830001,2020-2021学年第二学期,46.0,100.0,83.09,4.35
1229830001,2019-2020学年第二学期,49.0,100.0,80.86,0.0
1229830001,2018-2019学年第二学期,53.0,100.0,82.3,0.0
0208720001,2020-2021学年第一学期,57.0,100.0,76.28,6.67
0208720001,2019-2020学年第一学期,55.0,100.0,76.95,3.64
0808200001,2020-2021学年第二学期,36.0,100.0,84.61,2.78
0601910001,2020-2021学年第一学期,54.0,100.0,73.37,0.0
0601910001,2019-2020学年第一学期,50.0,100.0,78.26,0.0
61110001,2020-2021学年第二学期,18.0,100.0,82.94,0.0
61110001,2019-2020学年第二学期,23.0,100.0,74.04,0.0
2401250001,2019-2020学年第一学期,95.0,100.0,84.48,3.16
2401250001,2018-2019学年第一学期,104.0,100.0,84.86,10.58
2301000001,2020-2021学年第一学期,6.0,100.0,68.33,0.0
2301000001,2019-2020学年第一学期,14.0,100.0,81.0,7.14
6100240001,2020-2021学年第二学期,43.0,100.0,76.51,0.0
6100240001,2020-2021学年第一学期,47.0,100.0,81.4,2.13
6100240001,2019-2020学年第二学期,42.0,100.0,78.95,4.76
6100240001,2018-2019学年第二学期,47.0,100.0,80.02,0.0
6100240001,2018-2019学年第一学期,60.0,100.0,82.08,1.67
09110003,2020-2021学年第二学期,57.0,100.0,69.39,0.0
09110003,2020-2021学年第一学期,83.0,100.0,71.66,8.43
09110003,2019-2020学年第二学期,80.0,100.0,74.16,7.41
2701000010,2020-2021学年第一学期,177.0,100.0,84.58,3.39
0510710001,2020-2021学年第二学期,18.0,100.0,82.0,5.56
0510710001,2019-2020学年第二学期,21.0,100.0,81.48,4.76
2801000014,2020-2021学年第二学期,120.0,100.0,83.64,5.0
2801000014,2020-2021学年第一学期,56.0,100.0,83.88,7.14
1102800001R,2020-2021学年第一学期,5.0,100.0,89.2,0.0
1107410001,2020-2021学年第一学期,26.0,100.0,75.69,0.0
1107410001,2019-2020学年第一学期,29.0,100.0,72.79,13.79
1107410001,2018-2019学年第一学期,23.0,100.0,71.4,16.0
0501990028,2020-2021学年第一学期,15.0,100.0,78.67,0.0
1229640001,2020-2021学年第二学期,47.0,100.0,81.66,6.38
1229640001,2019-2020学年第二学期,52.0,100.0,81.15,0.0
0411900001,2020-2021学年第二学期,17.0,100.0,63.59,5.88
1201980004,2020-2021学年第一学期,33.0,100.0,78.06,0.0
0101920028,2020-2021学年第二学期,40.0,100.0,77.23,10.0
0411860001,2020-2021学年第一学期,40.0,100.0,87.6,7.5
1500770003R,2019-2020学年第二学期,6.0,100.0,84.0,0.0
1504490001,2018-2019学年第一学期,50.0,100.0,80.24,2.0
0710730001,2020-2021学年第一学期,18.0,100.0,83.83,5.56
0111590001,2018-2019学年第一学期,50.0,100.0,74.0,1.92
2701000008,2020-2021学年第一学期,175.0,100.0,75.08,7.03
2205540001,2020-2021学年第二学期,27.0,100.0,80.7,7.41
2205540001,2020-2021学年第一学期,32.0,100.0,73.23,2.86
2205540001,2019-2020学年第二学期,31.0,100.0,79.26,3.23
0510630001,2020-2021学年第二学期,20.0,100.0,83.4,5.0
1229810001,2020-2021学年第二学期,47.0,100.0,80.34,2.13
1229810001,2019-2020学年第二学期,51.0,100.0,79.45,3.92
0711500001,2020-2021学年第一学期,21.0,100.0,83.05,0.0
0711500001,2019-2020学年第一学期,20.0,100.0,83.15,0.0
2205530001,2020-2021学年第二学期,32.0,100.0,81.63,3.13
2205530001,2020-2021学年第一学期,31.0,100.0,79.65,3.23
9001000024,2019-2020学年第一学期,2.0,100.0,91.0,50.0
9901760001,2020-2021学年第二学期,107.0,100.0,74.71,3.64
9901760001,2020-2021学年第一学期,158.0,100.0,73.54,3.13
9901760001,2019-2020学年第二学期,202.0,100.0,83.22,55.45
9901760001,2019-2020学年第一学期,186.0,100.0,78.55,17.2
9901760001,2018-2019学年第二学期,56.0,100.0,63.46,0.0
9901760001,2018-2019学年第一学期,138.0,100.0,66.28,0.0
2300890001,2020-2021学年第一学期,5.0,100.0,91.4,60.0
2300890001,2019-2020学年第一学期,11.0,100.0,79.73,0.0
1800920001R,2020-2021学年第二学期,15.0,100.0,61.33,6.67
1800920001R,2019-2020学年第二学期,23.0,100.0,69.61,0.0
0411920001,2020-2021学年第一学期,2.0,100.0,89.0,0.0
5300690001,2020-2021学年第二学期,1.0,100.0,85.5,0.0
5300690001,2020-2021学年第一学期,12.0,100.0,84.64,4.55
5300690001,2019-2020学年第一学期,17.0,100.0,84.59,5.88
23120021,2000-2001学年第一学期,,100.0,,0.0
0710620001,2020-2021学年第二学期,18.0,100.0,81.56,5.56
0710620001,2019-2020学年第二学期,18.0,100.0,82.72,5.56
0302890001,2017-2018学年第二学期,28.0,100.0,80.9,6.9
23500033,1999-2000学年第二学期,,100.0,,0.0
23500034,1999-2000学年第二学期,,100.0,,0.0
23550001,2000-2001学年第一学期,,100.0,,0.0
12110005,2020-2021学年第二学期,209.0,100.0,77.11,0.0
12110005,2020-2021学年第一学期,139.0,100.0,81.06,0.0
1905490001,2020-2021学年第二学期,52.0,100.0,74.37,5.77
1905490001,2019-2020学年第二学期,51.0,100.0,81.12,7.84
1905490001,2018-2019学年第二学期,50.0,100.0,76.76,2.0
0711200001,2020-2021学年第一学期,14.0,100.0,81.29,0.0
0711200001,2019-2020学年第一学期,17.0,100.0,80.06,0.0
5600860001,2020-2021学年第二学期,34.0,100.0,81.53,8.82
5600860001,2019-2020学年第二学期,31.0,100.0,78.48,3.23
5600860001,2019-2020学年第一学期,32.0,100.0,68.91,9.38
0501990042,2020-2021学年第一学期,14.0,100.0,86.93,21.43
0711530001,2019-2020学年第二学期,25.0,100.0,84.08,8.0
0711530001,2019-2020学年第一学期,13.0,100.0,82.85,7.69
0601850001,2020-2021学年第二学期,55.0,100.0,71.42,3.39
0601850001,2019-2020学年第二学期,54.0,100.0,69.17,0.0
0701990003,2020-2021学年第二学期,23.0,100.0,82.52,0.0
0701990003,2019-2020学年第二学期,11.0,100.0,82.09,0.0
5002010001,2018-2019学年第一学期,51.0,100.0,73.08,0.0
0208510001,2019-2020学年第二学期,19.0,100.0,77.32,5.26
0208510001,2018-2019学年第二学期,18.0,100.0,57.59,9.09
0101920017,2020-2021学年第二学期,33.0,100.0,83.39,6.06
1905570001,2020-2021学年第一学期,49.0,100.0,71.89,16.98
1905570001,2019-2020学年第一学期,48.0,100.0,74.69,4.17
0208610001,2020-2021学年第二学期,198.0,100.0,84.75,22.0
0208610001,2020-2021学年第一学期,200.0,100.0,89.94,55.0
0208610001,2019-2020学年第二学期,403.0,100.0,96.77,93.05
0208610001,2019-2020学年第一学期,71.0,100.0,89.31,47.89
0208610001,2018-2019学年第二学期,191.0,100.0,89.93,50.26
0208610001,2018-2019学年第一学期,78.0,100.0,86.5,25.0
5002080001,2020-2021学年第二学期,52.0,100.0,85.4,5.77
1101980006,2020-2021学年第二学期,128.0,100.0,83.57,4.69
1101980006,2019-2020学年第二学期,111.0,100.0,82.82,1.8
0601880001,2020-2021学年第一学期,53.0,100.0,81.38,7.55
0601880001,2019-2020学年第一学期,47.0,100.0,74.66,0.0
9001000009,2019-2020学年第一学期,3.0,100.0,86.67,0.0
0711110001,2020-2021学年第二学期,6.0,100.0,80.83,0.0
03110006,2020-2021学年第二学期,47.0,100.0,89.79,8.51
03110006,2019-2020学年第二学期,72.0,100.0,89.04,1.39
2301170001,2020-2021学年第二学期,21.0,100.0,68.55,4.55
0501990038,2020-2021学年第一学期,15.0,100.0,80.93,6.67
6400940001,2020-2021学年第二学期,17.0,100.0,83.06,11.76
6400940001,2019-2020学年第二学期,8.0,100.0,87.5,12.5
0401990008,2020-2021学年第二学期,17.0,100.0,82.94,5.88
9000210001,2018-2019学年第一学期,6.0,100.0,81.0,16.67
0208370001,2020-2021学年第一学期,53.0,100.0,75.62,0.0
0208370001,2019-2020学年第一学期,27.0,100.0,77.07,0.0
0208370001,2018-2019学年第一学期,30.0,100.0,78.33,0.0
0808170001,2019-2020学年第二学期,89.0,100.0,84.52,5.62
0301990009,2020-2021学年第二学期,42.0,100.0,85.45,19.05
0711450001,2019-2020学年第二学期,32.0,100.0,77.75,9.38
0711450001,2019-2020学年第一学期,16.0,100.0,80.88,6.25
2205190001,2018-2019学年第二学期,1.0,100.0,79.0,0.0
0501990037,2020-2021学年第一学期,7.0,100.0,72.0,14.29
6400970001,2020-2021学年第二学期,5.0,100.0,65.2,0.0
6400970001,2019-2020学年第二学期,14.0,100.0,87.93,14.29
0710780001,2020-2021学年第一学期,15.0,100.0,81.13,0.0
2701000011,2020-2021学年第一学期,165.0,100.0,66.85,4.86
0711270001,2020-2021学年第一学期,27.0,100.0,79.74,7.41
0711270001,2019-2020学年第一学期,23.0,100.0,84.0,4.35
0711270001,2018-2019学年第一学期,28.0,100.0,81.0,6.9
0711390001,2018-2019学年第二学期,17.0,100.0,82.06,5.88
0901970014,2020-2021学年第二学期,38.0,100.0,84.53,7.89
1230120001,2020-2021学年第二学期,27.0,100.0,81.96,0.0
1230120001,2019-2020学年第二学期,45.0,100.0,79.4,4.44
3000110001R,2020-2021学年第二学期,6.0,100.0,85.67,0.0
3000110001R,2019-2020学年第二学期,5.0,100.0,87.4,0.0
0510620001,2020-2021学年第二学期,13.0,100.0,84.62,7.69
0510620001,2019-2020学年第二学期,18.0,100.0,82.56,5.56
1229970001,2020-2021学年第一学期,12.0,100.0,82.92,8.33
1229970001,2018-2019学年第二学期,17.0,100.0,82.71,5.88
2301080001,2020-2021学年第二学期,9.0,100.0,68.89,0.0
2301080001,2019-2020学年第二学期,24.0,100.0,58.29,0.0
2301280001,2020-2021学年第二学期,9.0,100.0,73.22,0.0
2301280001,2019-2020学年第二学期,24.0,100.0,65.21,25.0
6400850001,2020-2021学年第一学期,8.0,100.0,73.5,12.5
6400850001,2019-2020学年第一学期,8.0,100.0,86.75,12.5
6400850001,2018-2019学年第一学期,5.0,100.0,70.4,0.0
0710790001,2020-2021学年第二学期,18.0,100.0,80.44,0.0
1504630001,2020-2021学年第二学期,35.0,100.0,74.8,14.29
1504630001,2019-2020学年第二学期,38.0,100.0,73.53,13.16
29190004,2020-2021学年第二学期,58.0,100.0,79.52,3.45
29190004,2019-2020学年第二学期,49.0,100.0,80.45,4.08
1905540001,2019-2020学年第二学期,46.0,100.0,62.96,0.0
1905540001,2018-2019学年第二学期,69.0,100.0,69.26,4.35
1201980003,2020-2021学年第二学期,38.0,100.0,67.7,0.0
1201980003,2019-2020学年第二学期,89.0,100.0,76.77,2.13
2701000009,2020-2021学年第二学期,184.0,100.0,85.77,8.15
2701000009,2019-2020学年第二学期,170.0,100.0,84.52,8.24
0401990009,2020-2021学年第二学期,16.0,100.0,88.44,6.25
6401000001,2020-2021学年第一学期,21.0,100.0,75.57,4.76
6401000001,2019-2020学年第一学期,19.0,100.0,85.89,10.53
0711320001,2018-2019学年第二学期,50.0,100.0,76.22,4.0
0808100001,2018-2019学年第一学期,93.0,100.0,74.19,0.0
2500140001,2020-2021学年第一学期,52.0,100.0,87.9,9.62
2500140001,2019-2020学年第一学期,50.0,100.0,84.3,10.0
2500140001,2018-2019学年第二学期,29.0,100.0,84.07,6.9
2500140001,2018-2019学年第一学期,49.0,100.0,83.08,6.0
2500140001,2017-2018学年第二学期,51.0,100.0,86.8,9.8
0411960001,2020-2021学年第二学期,12.0,100.0,68.17,8.33
1905560001,2020-2021学年第二学期,40.0,100.0,60.0,0.0
1905560001,2019-2020学年第二学期,35.0,100.0,76.86,2.86
1905560001,2018-2019学年第二学期,35.0,100.0,66.16,5.41
1001990002,2020-2021学年第二学期,18.0,100.0,82.67,0.0
2300790001,2019-2020学年第一学期,26.0,100.0,85.96,30.77
2300790001,2018-2019学年第一学期,20.0,100.0,72.3,15.0
2201990027,2020-2021学年第二学期,27.0,100.0,82.85,11.11
0101920027,2020-2021学年第二学期,20.0,100.0,85.4,20.0
0111840001,2020-2021学年第二学期,10.0,100.0,82.0,0.0
0111840001,2020-2021学年第一学期,11.0,100.0,86.64,9.09
0111840001,2019-2020学年第二学期,10.0,100.0,90.1,20.0
0111840001,2019-2020学年第一学期,10.0,100.0,84.1,10.0
0501990009,2020-2021学年第一学期,47.0,100.0,70.63,0.0
2401190001,2020-2021学年第二学期,19.0,100.0,84.16,0.0
0510240001,2020-2021学年第二学期,13.0,100.0,77.92,0.0
0510240001,2019-2020学年第二学期,15.0,100.0,76.67,0.0
0510240001,2018-2019学年第二学期,16.0,100.0,73.94,6.25
0408600001,2019-2020学年第一学期,35.0,100.0,76.34,0.0
0408600001,2018-2019学年第二学期,33.0,100.0,82.24,0.0
0408600001,2017-2018学年第二学期,24.0,100.0,82.67,0.0
0401990003,2020-2021学年第二学期,69.0,100.0,79.0,0.0
2301440002,2020-2021学年第一学期,8.0,100.0,60.63,12.5
2301440002,2019-2020学年第一学期,13.0,100.0,86.46,7.69
0701990024,2020-2021学年第二学期,12.0,100.0,85.0,8.33
2205320001,2020-2021学年第二学期,131.0,100.0,83.18,0.76
2205320001,2019-2020学年第二学期,120.0,100.0,83.97,5.83
3000750001R,2020-2021学年第一学期,4.0,100.0,88.0,25.0
1004690001,2020-2021学年第一学期,64.0,100.0,83.09,0.0
1004690001,2019-2020学年第一学期,26.0,100.0,80.65,3.85
1004690001,2018-2019学年第一学期,37.0,100.0,78.22,0.0
0501990031,2020-2021学年第二学期,15.0,100.0,81.73,6.67
0303950001,2020-2021学年第一学期,75.0,100.0,80.87,2.67
0303950001,2019-2020学年第二学期,47.0,100.0,91.28,8.51
0303950001,2018-2019学年第二学期,12.0,100.0,81.5,8.33
0412130001,2018-2019学年第二学期,64.0,100.0,76.98,0.0
5300660001,2020-2021学年第一学期,8.0,100.0,84.83,8.33
5300660001,2019-2020学年第一学期,6.0,100.0,86.33,16.67
0111560001,2018-2019学年第一学期,24.0,100.0,69.38,4.17
2600160001,2019-2020学年第一学期,40.0,100.0,78.08,2.5
2600160001,2018-2019学年第二学期,19.0,100.0,78.05,4.76
0710650001,2020-2021学年第二学期,18.0,100.0,82.28,5.56
0710650001,2019-2020学年第二学期,18.0,100.0,84.22,11.11
0711540001,2019-2020学年第二学期,19.0,100.0,82.32,0.0
2205370001,2020-2021学年第一学期,31.0,100.0,78.39,0.0
04110002,2020-2021学年第一学期,19.0,100.0,86.16,5.26
2301190001,2020-2021学年第一学期,15.0,100.0,78.56,31.25
