teachingClassID,courseNumber,courseName,teacherName,departmentName,teachingPlace,credit,hours,campusName
202120222050199016701,0501990167,录音与扩音技术（1）,尚晖,艺术学部,1-18周 星期一 第13-14节 师院B(M04),2,36,粤海校区
202120222050199016702,0501990167,录音与扩音技术（1）,尚晖,艺术学部,1-18周 星期四 第13-14节 师院B(M04),2,36,粤海校区
202120222050199017601,0501990176,声乐基础与教学（2）,宋瑛,艺术学部,1-18周 星期三 第11-12节 师院B(M01),1,36,粤海校区
202120222050199018001,0501990180,钢琴基础（2）,董欣欣,艺术学部,1-18周 星期五 第1-2节 金钟电钢琴室,1.5,36,粤海校区
202120222050199018002,0501990180,钢琴基础（2）,姜楚娟,艺术学部,1-18周 星期四 第11-12节 师院B304,1.5,36,粤海校区
202120222050199019601,0501990196,拉班/芭特尼芙动作分析,李琼,艺术学部,1-18周 星期四 第3-4节 师院B(D04),2,36,粤海校区
202120222050199019602,0501990196,拉班/芭特尼芙动作分析,李琼,艺术学部,1-18周 星期四 第7-8节 师院B(D02),2,36,粤海校区
202120222050199020401,0501990204,作曲基础理论(2),蔡建纯,艺术学部,1-18周 星期三 第1-2节 师院B305,2,36,粤海校区
202120222050199021201,0501990212,艺术审美与写作,刘卓扬,艺术学部,1-9周 星期三 第7-10节 艺术学院L7-714,2,36,粤海校区
202120222050199021202,0501990212,艺术审美与写作,黄永健,艺术学部,1-9周 星期四 第7-10节 致理楼L3-304,2,36,粤海校区
202120222050199021204,0501990212,艺术审美与写作,齐驸,艺术学部,1-9周 星期四 第7-10节 艺术学院L7-719,2,36,粤海校区
202120222050199021205,0501990212,艺术审美与写作,刘卓扬,艺术学部,10-18周 星期五 第1-4节 艺术学院L7-716,2,36,粤海校区
202120222050199021206,0501990212,艺术审美与写作,邹卫,艺术学部,10-18周 星期四 第7-10节 艺术学院L7-719,2,36,粤海校区
202120222050199021501,0501990215,舞蹈编导基础理论与技法,张月龙,艺术学部,1-18周 星期二 第1-2节 师院A305,2,36,粤海校区
202120222050199025601,0501990256,舞台发声（2）,许静,艺术学部,1-18周 星期四 第2-5节 师院B110,3,72,粤海校区
202120222050199025602,0501990256,舞台发声（2）,"张春丽,黄嘉莉",艺术学部,1-18周 星期四 第7-10节 师院B110,3,72,粤海校区
202120222050199026201,0501990262,和声学（2）,孙薇,艺术学部,1-18周 星期五 第3-4节 师院B(M02),2,36,粤海校区
202120222050199026501,0501990265,舞台表演,许静,艺术学部,1-18周 星期三 第9-10节 师院音乐厅,1.5,36,粤海校区
202120222050199026801,0501990268,经典戏剧影视佳作赏析,李凌波,艺术学部,1-18周 星期三 第3-5节 师院A503,2.5,54,粤海校区
202120222050199026802,0501990268,经典戏剧影视佳作赏析,李凌波,艺术学部,1-18周 星期三 第7-9节 师院A503,2.5,54,粤海校区
202120222050199026901,0501990269,声乐训练（2）,孟龙,艺术学部,1-18周 星期五 第3-4节 师院B(M01),1.5,36,粤海校区
202120222050199026902,0501990269,声乐训练（2）,孟龙,艺术学部,1-18周 星期五 第1-2节 师院B(M01),1.5,36,粤海校区
202120222050199027501,0501990275,心理剧,王维斌,艺术学部,1-18周 星期五 第7-10节 师院B105,3,72,粤海校区
202120222050199028501,0501990285,互联网设计概览,贺沁洋,艺术学部,1-5周 星期二 第11-14节 艺术学院L7-716,1,18,粤海校区
202120222050199028601,0501990286,体验设计,黄以然,艺术学部,5-18周 星期一 第11-14节 艺术学院L7-716,2,54,粤海校区
202120222050199028701,0501990287,用户研究（1）,王昕,艺术学部,1-9周 星期四 第11-14节 艺术学院L7-716,2,36,粤海校区
202120222050199028801,0501990288,艺术与科技,杨晨啸,艺术学部,4-14周 星期六 第6-10节 艺术学院L7-715,2,54,粤海校区
202120222050222000201,0502220002,景观设计原理,许慧,艺术学部,"1-9周 星期四 1-4节 艺术学院L7-614b,1-9周 星期二 1-4节 艺术学院L7-614b",3,72,粤海校区
202120222050228000101,0502280001,居住空间设计,李逸斐,艺术学部,"1-7周 星期三 7-10节 艺术学院L7-614b,1-7周 星期五 7-10节 艺术学院L7-614b",2,54,粤海校区
202120222050239000201,0502390002,服装流行趋势,莫艳,艺术学部,"1-7周 星期二 第7-10节 艺术学院L7-718,1-7周 星期四 第7-10节 艺术学院L7-718",2,54,粤海校区
202120222050239000202,0502390002,服装流行趋势,陈晓穗,艺术学部,"10-16周 星期一 第7-10节 艺术学院L7-718,10-16周 星期三 第7-10节 艺术学院L7-718",2,54,粤海校区
202120222050256000201,0502560002,模型制作,黎敏,艺术学部,"1-9周 星期一 第1-4节 艺术学院L7-414,1-9周 星期三 第1-4节 艺术学院L7-414",3,72,粤海校区
